HOSTNAME,INTERFACES,BONDNAME,MODE,IP,NETMASK,GATEWAY,VLAN,DESCRIPTION
node90.35-02.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.45,255.255.255.0,172.17.1.254,112,OpenStack management network
node91.35-03.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.46,255.255.255.0,172.17.1.254,112,OpenStack management network
node92.35-04.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.47,255.255.255.0,172.17.1.254,112,OpenStack management network
node93.35-05.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.48,255.255.255.0,172.17.1.254,112,OpenStack management network
node94.35-06.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.49,255.255.255.0,172.17.1.254,112,OpenStack management network
node95.35-07.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.50,255.255.255.0,172.17.1.254,112,OpenStack management network
node96.35-08.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.51,255.255.255.0,172.17.1.254,112,OpenStack management network
node97.36-01.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.52,255.255.255.0,172.17.1.254,112,OpenStack management network
node98.36-02.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.53,255.255.255.0,172.17.1.254,112,OpenStack management network
node99.36-03.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.54,255.255.255.0,172.17.1.254,112,OpenStack management network
node100.36-04.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.55,255.255.255.0,172.17.1.254,112,OpenStack management network
node101.36-05.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.56,255.255.255.0,172.17.1.254,112,OpenStack management network
node102.36-06.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.57,255.255.255.0,172.17.1.254,112,OpenStack management network
node103.36-07.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.58,255.255.255.0,172.17.1.254,112,OpenStack management network
node104.36-08.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.59,255.255.255.0,172.17.1.254,112,OpenStack management network
node105.37-01.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.60,255.255.255.0,172.17.1.254,112,OpenStack management network
node106.37-02.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.61,255.255.255.0,172.17.1.254,112,OpenStack management network
node107.37-03.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.62,255.255.255.0,172.17.1.254,112,OpenStack management network
node108.37-04.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.63,255.255.255.0,172.17.1.254,112,OpenStack management network
node109.37-05.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.64,255.255.255.0,172.17.1.254,112,OpenStack management network
node110.37-06.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.65,255.255.255.0,172.17.1.254,112,OpenStack management network
node111.37-07.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.66,255.255.255.0,172.17.1.254,112,OpenStack management network
node112.37-08.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.67,255.255.255.0,172.17.1.254,112,OpenStack management network
node113.38-01.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.68,255.255.255.0,172.17.1.254,112,OpenStack management network
node114.38-02.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.69,255.255.255.0,172.17.1.254,112,OpenStack management network
node115.38-03.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.70,255.255.255.0,172.17.1.254,112,OpenStack management network
node116.38-04.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.71,255.255.255.0,172.17.1.254,112,OpenStack management network
node117.38-05.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.72,255.255.255.0,172.17.1.254,112,OpenStack management network
node118.38-06.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.73,255.255.255.0,172.17.1.254,112,OpenStack management network
node119.38-07.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.74,255.255.255.0,172.17.1.254,112,OpenStack management network
node120.38-08.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.75,255.255.255.0,172.17.1.254,112,OpenStack management network
node121.39-01.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.76,255.255.255.0,172.17.1.254,112,OpenStack management network
node122.39-02.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.77,255.255.255.0,172.17.1.254,112,OpenStack management network
node123.39-03.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.78,255.255.255.0,172.17.1.254,112,OpenStack management network
node124.39-04.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.79,255.255.255.0,172.17.1.254,112,OpenStack management network
node125.39-05.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.80,255.255.255.0,172.17.1.254,112,OpenStack management network
node126.39-06.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.81,255.255.255.0,172.17.1.254,112,OpenStack management network
node127.39-07.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.82,255.255.255.0,172.17.1.254,112,OpenStack management network
node128.39-08.vm.qh,"enp6s0f0,enp8s0f0",bond0,4,172.17.1.83,255.255.255.0,172.17.1.254,112,OpenStack management network
